DEPTH,CALS,DEVI,DRHO,FC13,FC24,FCAL,TENS,HTEN,MRES,MTEM,NPHI,LLD,LLS,SPED,PEF,MSFL,SP,GR,RHOB,DT
1731.2467,12.4882,40.2234,-0.01466724,12.1385,12.1221,12.1303,3291.299,1473.163,0.048833101,61.6092,0.3083,-3,2.222445936,695.1865,4.698056278,-1,48.501,21.1862,2.449075612,59.0003
1731.3991,12.4885,40.2105,-0.01466724,12.1426,12.1391,12.1409,3293.984,1478.187,0.048833101,61.6185,0.3327,-3,2.222445936,695.1865,4.698056278,-1,48.4511,21.7225,2.449075612,59.8878
1731.5515,12.4885,40.1987,-0.01466724,12.1438,12.1482,12.146,3293.179,1482.482,0.048833101,61.6255,0.3373,-3,2.222445936,694.595,4.698056278,-1,48.4012,20.918,2.449075612,57.2994
1731.7039,12.4885,40.2046,-0.01466724,12.141,12.1453,12.1431,3296.67,1479.041,0.048833101,61.6029,0.3298,-3,2.222445936,696.0203,4.698056278,-1,48.3262,21.0968,2.449075612,54.6178
1731.8563,12.4885,40.2032,-0.01466724,12.1374,12.1514,12.1444,3299.087,1477.621,0.048833101,61.6024,0.3052,-3,2.222445936,692.8208,4.698056278,-1,48.3013,19.8148,2.449075612,55.534
1732.0087,12.4885,40.1888,-0.01466724,12.1397,12.1572,12.1485,3305.801,1477.737,0.048833101,61.6227,0.3081,-3,2.222445936,692.8208,4.698056278,-1,48.3138,21.9122,2.449075612,55.4678
1732.1611,12.4882,40.1747,-0.01466724,12.1476,12.1679,12.1578,3304.995,1477.445,0.048833101,61.5884,0.3064,-3,2.222445936,691.1519,4.698056278,-1,48.3013,20.7501,2.449075612,56.0003
1732.3135,12.4882,40.1708,-0.01466724,12.1535,12.168,12.1607,3297.744,1475.133,0.048833101,61.579,0.2854,-3,2.222445936,692.3665,4.698056278,-1,48.2888,21.3606,2.449075612,55.6869
1732.4659,12.4885,40.1679,-0.01466724,12.157,12.1707,12.1638,3283.779,1462.834,0.048833101,61.5911,0.2885,-3,2.222445936,695.2893,4.698056278,-1,48.2389,21.6288,2.449075612,56.5007
1732.6183,12.4885,40.1614,-0.01466724,12.1597,12.1682,12.1639,3272.769,1462.117,0.048833101,61.6018,0.3027,-3,2.222445936,696.0103,4.698056278,-1,48.0391,20.8439,2.449075612,55.9609
